"Ailun 2 Pack Screen Protector Compatible for iPhone 12 Pro Max[6.7 inch] + 2 Pack Camera Lens Protector,Case Friendly Tempered Glass Film,[9H Hardness] - HD",9.89,170,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\81RV06Ugs5L._AC_UL320_.jpg
Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),19.99,183,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\715Sv8XftgL._AC_UL320_.jpg
"Samsung Galaxy Buds Plus, True Wireless Earbuds (Wireless Charging Case Included), Black – US Version",99.99,191,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\614bL2rQtcL._AC_UL320_.jpg
"Watch Charger Magnetic Charging Cable for iWatch Portable Wireless Charging Cord Compatible with Apple Watch Series Se,6,5,4,3,2,1 (1M)",12.89,70,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\31xQoCyKJ7S._AC_UL320_.jpg
"Electronics Organizer, Electronic Accessories Cable Organizer Bag Double Layer Travel Cable Storage Bag for Cables, Laptop Charger, iPad Pro Tablet (Up to 11'') and More (Thick Large, Orange and Grey)",226.93,52,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\81qKOEosQwL._AC_UL320_.jpg
"Deekavie Phone Case,for iPhone 11 with Selfie Ring Light, Light up iPhone Case Anti-Scratch, LED Ring Light, with 3 Lighting Modes Protective Case, Gift for Women",85.61,176,1,1,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71+-JdDGY8L._AC_UL320_.jpg
"Light Box Photography, Mini Photo Studio Light Box 9.25” × 9.05” Photo Light Box W Adjustable Photo Booth, Photo Shooting Tent Kit Portable and Portable W 72 LED Lights + 6 Colored Backdrops",17.99,99,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\61JA+hoPXNL._AC_UL320_.jpg
"IDEAS ILLUMINATED EMART LED Video Light, Dimmable Camera Panel Lighting with Rechargeable Battery & 3 Cold Shoe Mount, Small Photography Light for Sony Canon DSLR DJI OSMO Pocket 3 Nikon Zhiyun Mobile",19.99,29,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\51iZwJJzlaS._AC_UL320_.jpg
"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",35.44,139,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\61DJRLNgyWL._AC_UL320_.jpg
"Video Conference Lighting,6.3"" Selfie Ring Light with Clamp Mount for Video Conferencing,Webcam Light with 3 Light Modes&10 Level Dimmable for Laptop/PC Monitor/Desk/Bed/Office/Makeup/YouTube/TIK Tok",20.99,153,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71yfX8mHvWL._AC_UL320_.jpg
